availability,location,total_sqft,bath,balcony,price,bhk,price_per_sqft,price_category,estimated_monthly_rent,annual_rent,rental_yield,future_price_5yr,roi_5yr,sqft_scaled,price_sqft_scaled,investment_score
Ready To Move,Whitefield,2785.0,5.0,3.0,295.0,4,10592.45960502693,Luxury,147500.0,1770000.0,6.0,394.77654539200006,33.822557760000024,0.04781420765027322,0.05859516550254474,0.40525045838914603
Ready To Move,7th Phase JP Nagar,1000.0,2.0,1.0,38.0,2,3800.0,Budget,19000.0,228000.0,6.0,50.85257194880001,33.82255776000003,0.013468790887400908,0.020046055001341184,0.4000628525319041
Ready To Move,Gottigere,1100.0,2.0,2.0,40.0,2,3636.3636363636365,Budget,20000.0,240000.0,6.0,53.52902310400001,33.822557760000024,0.015392903871315325,0.01911737281099516,0.40158879319839114
Ready To Move,Sarjapur,2250.0,3.0,2.0,148.0,3,6577.777777777777,Premium,74000.0,888000.0,6.0,198.05738548480005,33.82255776000003,0.0375202031863311,0.035810721812770625,0.4081878331866904
Ready To Move,Mysore Road,1175.0,2.0,2.0,73.5,2,6255.31914893617,Mid-Range,36750.0,441000.0,6.0,98.35957995360002,33.822557760000024,0.016835988609251135,0.033980678788873626,0.39650932165000125
Ready To Move,Bisuvanahalli,1180.0,3.0,2.0,48.0,3,4067.7966101694915,Budget,24000.0,288000.0,6.0,64.23482772480001,33.822557760000024,0.016932194258446855,0.02156587576106001,0.4015329662506441
Ready To Move,Raja Rajeshwari Nagar,1540.0,3.0,3.0,60.0,3,3896.103896103896,Mid-Range,30000.0,360000.0,6.0,80.29353465600002,33.82255776000003,0.02385900100053875,0.02059147152583012,0.40607881198999124
Ready To Move,other,2770.0,4.0,2.0,290.0,3,10469.314079422382,Luxury,145000.0,1740000.0,6.0,388.0854175040001,33.822557760000024,0.047525590702686055,0.05789628015757407,0.405356842358582
Ready To Move,other,1100.0,2.0,2.0,48.0,2,4363.636363636364,Budget,24000.0,288000.0,6.0,64.23482772480001,33.822557760000024,0.015392903871315325,0.02324484921253305,0.399937802637776
Ready To Move,Kengeri,600.0,1.0,1.0,15.0,1,2500.0,Budget,7500.0,90000.0,6.0,20.073383664000005,33.82255776000003,0.005772338951743246,0.012668190933592203,0.3983961269976091
19-Dec,Binny Pete,1755.0,3.0,1.0,122.0,3,6951.5669515669515,Premium,61000.0,732000.0,6.0,163.26352046720004,33.82255776000003,0.027995843915954746,0.037932080054472725,0.40162467432778376
Ready To Move,Thanisandra,2800.0,5.0,2.0,380.0,4,13571.42857142857,Luxury,190000.0,2280000.0,6.0,508.5257194880001,33.822557760000024,0.04810282459786038,0.07550164865343242,0.3986610352973433
Ready To Move,Bellandur,1767.0,3.0,1.0,103.0,3,5829.088851160159,Premium,51500.0,618000.0,6.0,137.83723449280004,33.82255776000003,0.028226737474024478,0.03156170248229856,0.40431136149149527
18-Nov,Thanisandra,510.0,1.0,0.0,25.25,1,4950.980392156863,Budget,12625.0,151500.0,6.0,33.79019583440001,33.82255776000004,0.004040637266220272,0.02657819106132407,0.3917931059352025
18-May,other,1250.0,3.0,2.0,56.0,3,4480.0,Mid-Range,28000.0,336000.0,6.0,74.94063234560002,33.82255776000004,0.018279073347186946,0.02390524543677911,0.40140534583360055
Ready To Move,Electronic City,660.0,1.0,1.0,23.1,2,3500.0,Budget,11550.0,138600.0,6.0,30.91301084256001,33.82255776000003,0.006926806742091896,0.018343470985706805,0.39681869565097244
20-Dec,Whitefield,1610.0,3.0,2.0,81.0,3,5031.055900621118,Mid-Range,40500.0,486000.0,6.0,108.39627178560002,33.822557760000024,0.02520588008927884,0.02703264199717419,0.40431047125469766
17-Oct,Ramagondanahalli,1151.0,2.0,2.0,48.77,2,4237.185056472633,Budget,24385.0,292620.0,6.0,65.26526141955202,33.822557760000024,0.016374201493111674,0.022527202631422914,0.4008136398432978
Ready To Move,Electronic City,1025.0,2.0,1.0,47.0,3,4585.365853658536,Budget,23500.0,282000.0,6.0,62.896602147200014,33.822557760000024,0.013949819133379511,0.02450322616422143,0.39856860101433916
19-Dec,Yelahanka,2475.0,4.0,0.0,186.0,4,7515.151515151515,Premium,93000.0,1116000.0,6.0,248.90995743360006,33.82255776000003,0.04184945740013853,0.04113058028586391,0.4086574423257376
Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,35.0,3,3255.813953488372,Budget,17500.0,210000.0,6.0,46.83789521600001,33.822557760000024,0.014911875625336721,0.016957646786934635,0.4021640666604282
Ready To Move,Hebbal,1760.0,2.0,2.0,123.0,3,6988.636363636364,Premium,61500.0,738000.0,6.0,164.60174604480002,33.822557760000024,0.028092049565150466,0.03814245934933388,0.40159824599935673
Ready To Move,Raja Rajeshwari Nagar,1693.0,3.0,3.0,57.39,3,3389.84051978736,Mid-Range,28695.0,344340.0,6.0,76.80076589846402,33.82255776000004,0.026802893865927806,0.017718285085104694,0.40899442228551486
Ready To Move,Kasturi Nagar,1925.0,3.0,,125.0,3,6493.506493506494,Premium,62500.0,750000.0,6.0,167.27819720000002,33.82255776000002,0.03126683598860925,0.03533245867417973,0.40462711812349367
21-Dec,Kanakpura Road,700.0,2.0,1.0,36.0,2,5142.857142857143,Budget,18000.0,216000.0,6.0,48.176120793600006,33.82255776000002,0.007696451935657662,0.027667145357037935,0.3935510130185795
Ready To Move,Electronics City Phase 1,1070.0,2.0,1.0,45.5,2,4252.336448598131,Budget,22750.0,273000.0,6.0,60.889263780800015,33.82255776000003,0.014815669976140998,0.02261319102491452,0.3998441255757188
Ready To Move,Kundalahalli,1724.0,3.0,2.0,125.0,3,7250.580046403712,Premium,62500.0,750000.0,6.0,167.27819720000002,33.82255776000002,0.027399368890941276,0.03962906310692084,0.40058799609179646
Ready To Move,Chikkalasandra,1290.0,2.0,2.0,56.12,3,4350.387596899225,Mid-Range,28060.0,336720.0,6.0,75.10121941491201,33.822557760000024,0.019048718540752713,0.02316965875095465,0.40216136762406973
Ready To Move,Uttarahalli,1143.0,2.0,2.0,45.0,2,3937.0078740157483,Budget,22500.0,270000.0,6.0,60.220150992000015,33.82255776000003,0.016220272454398523,0.02082361305572539,0.40140271825034896
Ready To Move,Murugeshpalya,1296.0,2.0,,81.0,2,6250.0,Mid-Range,40500.0,486000.0,6.0,108.39627178560002,33.822557760000024,0.01916416531978758,0.03395049112902195,0.3979183027402638
19-Dec,Sarjapur  Road,1254.0,3.0,2.0,38.0,3,3030.3030303030305,Budget,19000.0,228000.0,6.0,50.85257194880001,33.82255776000003,0.018356037866543523,0.015677809143046915,0.4047424990627074
Ready To Move,other,600.0,1.0,0.0,38.0,1,6333.333333333333,Budget,19000.0,228000.0,6.0,50.85257194880001,33.82255776000003,0.005772338951743246,0.03442343113336484,0.3896940309177
Ready To Move,Yelahanka,660.0,1.0,0.0,48.0,1,7272.727272727273,Budget,24000.0,288000.0,6.0,64.23482772480001,33.822557760000024,0.006926806742091896,0.039754754818684616,0.3882541821177813
19-Sep,Kanakpura Road,1330.74,2.0,2.0,91.79,2,6897.665960292769,Mid-Range,45895.0,550740.0,6.0,122.83572576790404,33.82255776000003,0.019832602170399446,0.03762617683390515,0.3968490905686777
Ready To Move,Doddathoguru,970.0,2.0,0.0,33.0,2,3402.061855670103,Budget,16500.0,198000.0,6.0,44.16144406080001,33.822557760000024,0.012891556992226584,0.017787644588850217,0.4006198763597959
20-Sep,Whitefield,1459.0,2.0,1.0,94.82,2,6498.971898560658,Mid-Range,47410.0,568920.0,6.0,126.89054926803202,33.822557760000024,0.022300469483568074,0.03536347637846035,0.3992348911387567
Ready To Move,KR Puram,800.0,1.0,1.0,130.0,2,16250.0,Premium,65000.0,780000.0,6.0,173.96932508800003,33.822557760000024,0.009620564919572076,0.09070329165016797,0.3694910222916761
Ready To Move,other,869.0,2.0,1.0,36.0,2,4142.692750287687,Budget,18000.0,216000.0,6.0,48.176120793600006,33.82255776000002,0.010948202878473024,0.021990932331053183,0.3977725487946625
Ready To Move,other,1270.0,2.0,1.0,50.0,2,3937.0078740157483,Budget,25000.0,300000.0,6.0,66.91127888000001,33.822557760000024,0.01866389594396983,0.02082361305572539,0.40286889234409173
18-Mar,Bhoganhalli,1670.0,3.0,1.0,99.0,3,5928.143712574851,Mid-Range,49500.0,594000.0,6.0,132.48433218240004,33.82255776000004,0.02636034787962749,0.03212386656135034,0.4029666621032364
Ready To Move,Whitefield,2010.0,3.0,2.0,91.0,3,4527.363184079602,Mid-Range,45500.0,546000.0,6.0,121.77852756160003,33.82255776000003,0.032902332024936504,0.02417404477059071,0.4100717813067256
Ready To Move,Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2,6329.113924050633,Mid-Range,37500.0,450000.0,6.0,100.36691832000002,33.82255776000003,0.01702839990764258,0.034399484804031016,0.39645724602297316
Ready To Move,Yelahanka,1600.0,2.0,3.0,75.0,3,4687.5,Mid-Range,37500.0,450000.0,6.0,100.36691832000002,33.82255776000003,0.0250134687908874,0.025082866047592894,0.4049749348554953
Ready To Move,Begur Road,1200.0,2.0,2.0,44.0,2,3666.6666666666665,Budget,22000.0,264000.0,6.0,58.881925414400015,33.82255776000003,0.01731701685522974,0.01928935099439257,0.40267446971538084
Ready To Move,other,1500.0,2.0,2.0,185.0,2,12333.333333333334,Premium,92500.0,1110000.0,6.0,247.57173185600004,33.822557760000024,0.023089355806972987,0.06847511144605245,0.38646356890576283
Ready To Move,other,840.0,2.0,2.0,45.0,2,5357.142857142857,Budget,22500.0,270000.0,6.0,60.220150992000015,33.82255776000003,0.010390210113137843,0.028883276796776776,0.394680815349172
Ready To Move,other,4395.0,3.0,2.0,240.0,3,5460.750853242321,Luxury,120000.0,1440000.0,6.0,321.1741386240001,33.82255776000003,0.07879242669129531,0.02947128119027963,0.43548694353866535
Ready To Move,other,845.0,2.0,1.0,55.0,2,6508.87573964497,Mid-Range,27500.0,330000.0,6.0,73.60240676800001,33.82255776000002,0.010486415762333563,0.035419683450205464,0.39212397607731797
Ready To Move,Whitefield,5700.0,5.0,3.0,650.0,4,11403.508771929824,Luxury,325000.0,3900000.0,6.0,869.8466254400001,33.822557760000024,0.10390210113137843,0.06319809666075289,0.43706202201452593
Ready To Move,Varthur,1160.0,2.0,2.0,44.0,2,3793.103448275862,Budget,22000.0,264000.0,6.0,58.881925414400015,33.82255776000003,0.016547371661663972,0.020006915138912805,0.40192565694143323
Ready To Move,Bommanahalli,3000.0,8.0,0.0,140.0,8,4666.666666666667,Premium,70000.0,840000.0,6.0,187.35158086400003,33.822557760000024,0.051951050565689216,0.024964631046507174,0.4211847779208107
Ready To Move,Doddathoguru,1100.0,2.0,1.0,62.0,2,5636.363636363636,Mid-Range,31000.0,372000.0,6.0,82.96998581120002,33.82255776000003,0.015392903871315325,0.03046793291522436,0.39704856915669945
18-Apr,Gunjur,1140.0,2.0,3.0,43.0,2,3771.9298245614036,Budget,21500.0,258000.0,6.0,57.54369983680001,33.822557760000024,0.016162549064881092,0.01988674889461516,0.4017428298810826
Ready To Move,Marathahalli,1220.0,2.0,1.0,57.0,2,4672.131147540984,Mid-Range,28500.0,342000.0,6.0,76.27885792320002,33.82255776000004,0.017701839452012622,0.024995643505808345,0.4006228462688843
Ready To Move,Kanakpura Road,1005.0,2.0,1.0,36.68,2,3649.7512437810947,Budget,18340.0,220080.0,6.0,49.08611418636801,33.822557760000024,0.013564996536596631,0.019193351232317,0.4004616574290312
20-Aug,Begur Road,1358.0,2.0,1.0,80.58,2,5933.726067746687,Mid-Range,40290.0,483480.0,6.0,107.83421704300802,33.82255776000003,0.020357115369814514,0.032155547990300876,0.3993520500257684
Ready To Move,Hegde Nagar,1569.0,3.0,1.0,101.0,3,6437.221159974506,Premium,50500.0,606000.0,6.0,135.16078333760004,33.82255776000004,0.02441699376587393,0.03501302364355902,0.40064498680210076
18-Apr,Haralur Road,1240.0,2.0,1.0,70.0,2,5645.1612903225805,Mid-Range,35000.0,420000.0,6.0,93.67579043200001,33.822557760000024,0.018086662048795506,0.03051786206524296,0.39864485240318015
Ready To Move,Hennur Road,2089.0,3.0,2.0,140.0,3,6701.771182383915,Premium,70000.0,840000.0,6.0,187.35158086400003,33.822557760000024,0.03442238128222889,0.03651441910852561,0.4060476611259271
Ready To Move,Kothannur,1206.0,2.0,1.0,48.23,2,3999.1708126036483,Budget,24115.0,289380.0,6.0,64.542619607648,33.822557760000024,0.017432463634264605,0.021176405141074123,0.4019889161241291
Ready To Move,Kalena Agrahara,1150.0,2.0,3.0,40.0,2,3478.2608695652175,Budget,20000.0,240000.0,6.0,53.52902310400001,33.822557760000024,0.016354960363272532,0.018220095332399964,0.40252493808500356
Ready To Move,other,2511.0,3.0,3.0,205.0,3,8164.078056551175,Luxury,102500.0,1230000.0,6.0,274.33624340800003,33.82255776000002,0.04254213807434772,0.04481342014155712,0.40759991478798585
Ready To Move,ISRO Layout,4400.0,6.0,3.0,250.0,6,5681.818181818182,Luxury,125000.0,1500000.0,6.0,334.55639440000004,33.82255776000002,0.07888863234049104,0.03072590019032048,0.4350428193281664
Ready To Move,other,1660.0,2.0,2.0,105.0,3,6325.301204819277,Premium,52500.0,630000.0,6.0,140.51368564800003,33.82255776000003,0.02616793658123605,0.03437784655463299,0.4019496233268885
19-Mar,Yelahanka,1326.0,2.0,2.0,78.0,2,5882.35294117647,Mid-Range,39000.0,468000.0,6.0,104.38159505280002,33.822557760000024,0.019741399214961902,0.03186399110986217,0.3990992430850323
Ready To Move,Garudachar Palya,1325.0,2.0,2.0,60.8,3,4588.679245283019,Mid-Range,30400.0,364800.0,6.0,81.36411511808001,33.822557760000024,0.01972215808512276,0.0245220305896127,0.4020244826152286
Ready To Move,EPIP Zone,1499.0,5.0,2.0,102.0,3,6804.536357571715,Premium,51000.0,612000.0,6.0,136.49900891520002,33.822557760000024,0.02307011467713384,0.03709764025732099,0.3990030127033519
Ready To Move,Hegde Nagar,3000.0,7.0,2.0,210.0,6,7000.0,Luxury,105000.0,1260000.0,6.0,281.02737129600007,33.82255776000003,0.051951050565689216,0.038206951168107905,0.41588784987217037
Ready To Move,Kanakpura Road,1665.0,3.0,2.0,88.0,3,5285.285285285286,Mid-Range,44000.0,528000.0,6.0,117.76385082880003,33.82255776000003,0.02626414223043177,0.02847546495262011,0.4043682993572111
17-Sep,Dasanapura,708.0,2.0,2.0,37.0,2,5225.988700564972,Budget,18500.0,222000.0,6.0,49.51434637120001,33.82255776000003,0.007850380974370814,0.02813894022819839,0.39345465249334316
Ready To Move,Kasavanhalli,1060.0,2.0,2.0,58.06,2,5477.358490566037,Mid-Range,29030.0,348360.0,6.0,77.69737703545601,33.822557760000024,0.014623258677749558,0.02956553418309567,0.3969477415334115
Ready To Move,Sanjay nagar,1000.0,2.0,2.0,70.0,2,7000.0,Mid-Range,35000.0,420000.0,6.0,93.67579043200001,33.822557760000024,0.013468790887400908,0.038206951168107905,0.3927984940651974
18-Dec,Electronic City,1000.0,2.0,1.0,28.88,2,2888.0,Budget,14440.0,173280.0,6.0,38.64795468108801,33.82255776000004,0.013468790887400908,0.014870199593812666,0.40213319469491554
Ready To Move,other,1450.0,2.0,2.0,70.0,3,4827.586206896552,Mid-Range,35000.0,420000.0,6.0,93.67579043200001,33.822557760000024,0.022127299315015777,0.02587789450316929,0.40292522178774176
Ready To Move,ISRO Layout,1200.0,4.0,2.0,155.0,4,12916.666666666666,Premium,77500.0,930000.0,6.0,207.42496452800003,33.822557760000024,0.01731701685522974,0.07178569147645263,0.3816759335225568
17-Aug,Thanisandra,1296.0,2.0,3.0,80.0,2,6172.83950617284,Mid-Range,40000.0,480000.0,6.0,107.05804620800002,33.822557760000024,0.01916416531978758,0.03351258371759336,0.3980934657048352
Ready To Move,Domlur,1540.0,3.0,2.0,90.0,3,5844.1558441558445,Mid-Range,45000.0,540000.0,6.0,120.44030198400003,33.82255776000003,0.02385900100053875,0.031647211887092325,0.4016565158454864
Ready To Move,Kengeri,2894.0,4.0,1.0,245.0,4,8465.791292328957,Luxury,122500.0,1470000.0,6.0,327.86526651200006,33.822557760000024,0.04991149080273993,0.04652572725002571,0.4113366035816337
Ready To Move,Sarjapura - Attibele Road,1330.0,2.0,1.0,48.0,3,3609.0225563909776,Budget,24000.0,288000.0,6.0,64.23482772480001,33.822557760000024,0.01981836373431848,0.01896220452522306,0.4043061364305019
Ready To Move,other,1200.0,2.0,1.0,65.0,2,5416.666666666667,Mid-Range,32500.0,390000.0,6.0,86.98466254400002,33.822557760000024,0.01731701685522974,0.029221091085593124,0.39870177367890064
Ready To Move,other,1200.0,3.0,1.0,90.0,3,7500.0,Mid-Range,45000.0,540000.0,6.0,120.44030198400003,33.82255776000003,0.01731701685522974,0.0410445911941652,0.3939723736354718
Ready To Move,Yeshwanthpur,2502.0,3.0,3.0,138.0,3,5515.587529976019,Premium,69000.0,828000.0,6.0,184.67512970880003,33.822557760000024,0.042368967905795425,0.029782494687870645,0.413508382868329
Ready To Move,Chandapura,650.0,1.0,1.0,17.0,2,2615.3846153846152,Budget,8500.0,102000.0,6.0,22.749834819200004,33.822557760000024,0.006734395443700455,0.013323030939605426,0.39871142489037814
Ready To Move,Kothanur,2400.0,2.0,1.0,150.0,3,6250.0,Premium,75000.0,900000.0,6.0,200.73383664000005,33.82255776000003,0.04040637266220272,0.03395049112902195,0.41066362714571286
Ready To Move,other,1007.0,2.0,2.0,43.0,2,4270.109235352532,Budget,21500.0,258000.0,6.0,57.54369983680001,33.822557760000024,0.013603478796274916,0.022714056567052256,0.3990764646509441
Ready To Move,other,1200.0,2.0,2.0,50.0,2,4166.666666666667,Budget,25000.0,300000.0,6.0,66.91127888000001,33.822557760000024,0.01731701685522974,0.022126991020449873,0.4015394137049579
Ready To Move,other,966.0,2.0,2.0,49.9,2,5165.631469979296,Budget,24950.0,299400.0,6.0,66.77745632224001,33.82255776000003,0.012814592472870007,0.02779639604145462,0.39657019706714014
Ready To Move,Nagarbhavi,1630.0,2.0,1.0,98.0,3,6012.269938650306,Mid-Range,49000.0,588000.0,6.0,131.14610660480002,33.822557760000024,0.025590702686061725,0.03260130645405605,0.40231389903001463
Ready To Move,Rajaji Nagar,1640.0,3.0,2.0,229.0,3,13963.414634146342,Luxury,114500.0,1374000.0,6.0,306.4536572704001,33.82255776000003,0.025783113984453165,0.07772627933588153,0.3843793566563193
Ready To Move,other,782.0,2.0,2.0,55.68,2,7120.204603580562,Mid-Range,27840.0,334080.0,6.0,74.51240016076801,33.82255776000002,0.009274224582467482,0.038889145956981015,0.39000887636668813
19-Apr,Devanahalli,1260.0,2.0,2.0,66.78,2,5300.0,Mid-Range,33390.0,400680.0,6.0,89.36670407212802,33.822557760000024,0.01847148464557839,0.028558975079513084,0.3996593007555418
Ready To Move,other,1800.0,3.0,3.0,120.0,3,6666.666666666667,Premium,60000.0,720000.0,6.0,160.58706931200004,33.82255776000003,0.028861694758716232,0.03631519115073637,0.40279094039493524
Ready To Move,other,1413.0,2.0,2.0,75.0,3,5307.855626326964,Mid-Range,37500.0,450000.0,6.0,100.36691832000002,33.82255776000003,0.021415377510967445,0.028603557958903368,0.4014078033230192
Ready To Move,Whitefield,1116.0,2.0,1.0,51.91,2,4651.433691756272,Mid-Range,25955.0,311460.0,6.0,69.467289733216,33.822557760000024,0.01570076194874163,0.02487817964786385,0.39946918531009945
Ready To Move,Electronic City,1530.0,2.0,1.0,45.9,3,3000.0,Budget,22950.0,275400.0,6.0,61.42455401184001,33.822557760000024,0.02366658970214731,0.015505830959649504,0.40799762143742857
Ready To Move,Ramamurthy Nagar,3700.0,4.0,1.0,225.0,4,6081.081081081081,Luxury,112500.0,1350000.0,6.0,301.1007549600001,33.82255776000003,0.06541984145309013,0.03299182895805665,0.42605517328863146
Ready To Move,Sarjapur  Road,2497.0,3.0,2.0,140.0,3,5606.728073688426,Premium,70000.0,840000.0,6.0,187.35158086400003,33.822557760000024,0.042272762256599705,0.03029974279754055,0.41324376023494364
Ready To Move,Kengeri,1540.0,2.0,3.0,64.0,3,4155.8441558441555,Mid-Range,32000.0,384000.0,6.0,85.64643696640002,33.822557760000024,0.02385900100053875,0.022065570240665078,0.40548917250405725
18-Dec,Thanisandra,1436.0,3.0,1.0,74.75,3,5205.431754874652,Mid-Range,37375.0,448500.0,6.0,100.03236192560001,33.822557760000024,0.02185792349726776,0.028022273804389715,0.4019058445766048
18-Jun,Malleshwaram,1100.0,2.0,2.0,75.0,2,6818.181818181818,Mid-Range,37500.0,450000.0,6.0,100.36691832000002,33.82255776000003,0.015392903871315325,0.03717508206772343,0.3943657094956998
Ready To Move,Thanisandra,1427.0,3.0,2.0,120.0,3,8409.250175192712,Premium,60000.0,720000.0,6.0,160.58706931200004,33.82255776000003,0.021684753328715462,0.046204840575818105,0.3945289157669021
Ready To Move,Akshaya Nagar,2061.0,3.0,1.0,200.0,3,9704.02717127608,Premium,100000.0,1200000.0,6.0,267.64511552000005,33.822557760000024,0.03388362964673285,0.05355306263362691,0.39890895273458893
18-Mar,Hebbal,5611.5,4.0,0.0,477.0,4,8500.400962309543,Luxury,238500.0,2862000.0,6.0,638.3336005152001,33.82255776000003,0.10219926114061417,0.0467221468196768,0.4426306979564978
Ready To Move,Shampura,2650.0,4.0,2.0,150.0,4,5660.377358490566,Premium,75000.0,900000.0,6.0,200.73383664000005,33.82255776000003,0.04521665512198876,0.030604217513388345,0.41488830606783794
22-Dec,Devanahalli,1282.0,2.0,2.0,68.52,3,5344.773790951638,Mid-Range,34260.0,411120.0,6.0,91.69521657715201,33.822557760000024,0.01889478950203956,0.028813078882158467,0.39981164214836035
Ready To Move,Kadugodi,1050.0,2.0,1.0,34.0,2,3238.095238095238,Budget,17000.0,204000.0,6.0,45.49966963840001,33.822557760000024,0.014430847379358118,0.016857088114914886,0.40191567318164895
Ready To Move,LB Shastri Nagar,1600.0,3.0,2.0,65.0,3,4062.5,Mid-Range,32500.0,390000.0,6.0,86.98466254400002,33.822557760000024,0.0250134687908874,0.021535816015021268,0.40639375486852397
22-Jan,other,945.0,2.0,1.0,54.0,2,5714.285714285715,Mid-Range,27000.0,324000.0,6.0,72.26418119040001,33.82255776000002,0.01241052874624798,0.030910162529674847,0.3950822522358789
Ready To Move,Hormavu,1500.0,2.0,1.0,78.0,2,5200.0,Mid-Range,39000.0,468000.0,6.0,104.38159505280002,33.822557760000024,0.023089355806972987,0.027991447074301627,0.4026570346544631
Ready To Move,other,1870.0,3.0,3.0,110.0,3,5882.35294117647,Premium,55000.0,660000.0,6.0,147.20481353600002,33.82255776000002,0.03020857384745632,0.03186399110986217,0.40537954786452896
Ready To Move,Sarjapur,1600.0,3.0,1.0,75.0,3,4687.5,Mid-Range,37500.0,450000.0,6.0,100.36691832000002,33.82255776000003,0.0250134687908874,0.025082866047592894,0.4049749348554953
Ready To Move,Electronic City,880.0,1.0,1.0,16.5,2,1875.0,Budget,8250.0,99000.0,6.0,22.080722030400004,33.822557760000024,0.01115985530670361,0.009121140901020577,0.403047456823614
Ready To Move,other,1200.0,4.0,0.0,210.0,4,17500.0,Luxury,105000.0,1260000.0,6.0,281.02737129600007,33.82255776000003,0.01731701685522974,0.09779739171531121,0.3712712534270134
Ready To Move,Kudlu Gate,1535.0,3.0,2.0,83.0,3,5407.166123778502,Mid-Range,41500.0,498000.0,6.0,111.07272294080002,33.822557760000024,0.02376279535134303,0.02916717284405566,0.4025908080731836
Ready To Move,Kanakpura Road,950.0,2.0,1.0,57.0,2,6000.0,Mid-Range,28500.0,342000.0,6.0,76.27885792320002,33.82255776000004,0.0125067343954437,0.0325316711159933,0.39449137219086894
18-Aug,Devanahalli,1360.0,2.0,1.0,65.0,2,4779.411764705882,Mid-Range,32500.0,390000.0,6.0,86.98466254400002,33.822557760000024,0.020395597629492803,0.025604491052382834,0.4019955621567426
19-Mar,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2,5030.740568234746,Mid-Range,27002.5,324030.0,6.0,72.27087231828801,33.82255776000002,0.014883013930578004,0.02703085239757203,0.39811746739931797
18-May,Bommasandra Industrial Area,1280.0,3.0,1.0,50.4,3,3937.5,Mid-Range,25200.0,302400.0,6.0,67.44656911104,33.82255776000002,0.018856307242361273,0.02082640600850694,0.40298322194201397
19-Jan,other,1260.0,2.0,2.0,85.05,3,6750.0,Mid-Range,42525.0,510300.0,6.0,113.81608537488002,33.822557760000024,0.01847148464557839,0.03678813115507925,0.39636763832531535
Ready To Move,Hennur Road,5000.0,8.0,,250.0,8,5000.0,Luxury,125000.0,1500000.0,6.0,334.55639440000004,33.82255776000002,0.09043331024397752,0.026856391063878705,0.443517429720835
19-Dec,Yelahanka,3050.0,5.0,1.0,213.0,5,6983.606557377049,Luxury,106500.0,1278000.0,6.0,285.0420480288001,33.82255776000004,0.05291310705764642,0.03811391379020439,0.41650229871850614
Ready To Move,Kasavanhalli,1563.05,3.0,1.0,105.0,3,6717.635392341896,Premium,52500.0,630000.0,6.0,140.51368564800003,33.82255776000003,0.024302509043331023,0.036604452942842695,0.3999397242488616
Ready To Move,ISRO Layout,1000.0,2.0,1.0,60.0,2,6000.0,Mid-Range,30000.0,360000.0,6.0,80.29353465600002,33.82255776000003,0.013468790887400908,0.0325316711159933,0.3950686060860433
17-Jul,Anandapura,1167.0,2.0,1.0,43.76,2,3749.7857754927163,Budget,21880.0,262560.0,6.0,58.560751275776006,33.822557760000024,0.016682059570537984,0.019761075214662593,0.40210480565645773
